MLS_ID,Property_Type,Price,Bedrooms,Bathrooms,City,Postal_Code,Features
100000,Condo,559998,1,2,Mississauga,L8P 1A1,"Modern Kitchen, Garage, Fireplace"
100001,Condo,987718,2,4,Ottawa,L8P 1A1,"Backyard, Fireplace"
100002,Condo,1094085,3,1,Mississauga,L8P 1A1,"Pool, Garage, Hardwood, Finished Basement"
100003,Townhouse,1178337,5,2,Mississauga,L6T 1R2,"Fireplace, Modern Kitchen"
100004,Detached,767725,1,2,Toronto,L6T 1R2,"Modern Kitchen, Deck"
100005,Semi-Detached,1420858,3,4,Mississauga,K1A 0B1,"Deck, Fireplace"
100006,Semi-Detached,740055,1,1,Ottawa,L6T 1R2,"Finished Basement, Modern Kitchen"
100007,Semi-Detached,984940,5,4,Mississauga,L6T 1R2,"Deck, Garage, Pool"
100008,Townhouse,1184160,1,2,Mississauga,K1A 0B1,"Modern Kitchen, Fireplace, Pool"
100009,Semi-Detached,857907,2,4,Brampton,L5B 3Y3,"Modern Kitchen, Pool"
100010,Semi-Detached,1185986,5,3,Toronto,L6T 1R2,"Pool, Fireplace, Modern Kitchen"
100011,Condo,898245,3,2,Ottawa,L6T 1R2,"Finished Basement, Deck, Modern Kitchen, Garage"
100012,Condo,1448019,4,2,Mississauga,L5B 3Y3,"Modern Kitchen, Deck, Backyard"
100013,Condo,520204,4,2,Mississauga,L6T 1R2,"Modern Kitchen, Deck, Finished Basement"
100014,Townhouse,707203,3,1,Mississauga,K1A 0B1,"Fireplace, Deck, Finished Basement"
100015,Detached,834720,3,4,Brampton,L6T 1R2,"Pool, Fireplace, Backyard"
100016,Detached,1053213,3,4,Toronto,L5B 3Y3,"Hardwood, Pool, Modern Kitchen"
100017,Condo,427734,3,1,Ottawa,L6T 1R2,"Pool, Backyard"
100018,Semi-Detached,1251364,5,1,Ottawa,K1A 0B1,"Modern Kitchen, Fireplace, Hardwood, Finished Basement"
100019,Condo,1427189,5,2,Toronto,L5B 3Y3,"Hardwood, Modern Kitchen"
100020,Condo,433669,2,1,Ottawa,L6T 1R2,"Backyard, Deck, Modern Kitchen"
100021,Townhouse,1283011,1,1,Hamilton,L5B 3Y3,"Backyard, Deck"
100022,Townhouse,1313064,4,3,Mississauga,M5H 2N2,"Modern Kitchen, Pool, Garage, Hardwood"
100023,Semi-Detached,1320389,5,1,Mississauga,L6T 1R2,"Deck, Pool"
100024,Townhouse,771414,4,3,Toronto,L6T 1R2,"Finished Basement, Hardwood, Backyard"
100025,Townhouse,1289859,2,4,Mississauga,L5B 3Y3,"Finished Basement, Hardwood, Fireplace"
100026,Condo,1410584,5,2,Ottawa,L8P 1A1,"Finished Basement, Deck"
100027,Condo,988015,2,1,Brampton,L5B 3Y3,"Pool, Modern Kitchen, Fireplace, Hardwood"
100028,Semi-Detached,1215628,3,4,Ottawa,L6T 1R2,"Fireplace, Deck, Pool, Garage"
100029,Townhouse,1345531,5,3,Brampton,L6T 1R2,"Modern Kitchen, Finished Basement, Hardwood"
100030,Semi-Detached,551293,5,1,Mississauga,L5B 3Y3,"Pool, Backyard, Finished Basement"
100031,Detached,1260368,2,2,Ottawa,M5H 2N2,"Finished Basement, Garage, Deck, Pool"
100032,Condo,938017,3,2,Toronto,L5B 3Y3,"Garage, Modern Kitchen, Fireplace, Pool"
100033,Townhouse,1245933,3,3,Hamilton,M5H 2N2,"Modern Kitchen, Finished Basement, Fireplace, Hardwood"
100034,Condo,1338720,4,3,Mississauga,M5H 2N2,"Garage, Deck, Fireplace, Finished Basement"
100035,Townhouse,826583,2,4,Hamilton,L6T 1R2,"Finished Basement, Backyard, Deck"
100036,Detached,1191135,4,2,Hamilton,L6T 1R2,"Modern Kitchen, Fireplace, Hardwood"
100037,Semi-Detached,715821,2,1,Hamilton,L5B 3Y3,"Backyard, Deck, Fireplace"
100038,Semi-Detached,384368,3,2,Hamilton,M5H 2N2,"Garage, Hardwood, Fireplace, Pool"
100039,Condo,627759,2,1,Mississauga,L8P 1A1,"Pool, Garage, Finished Basement, Fireplace"
100040,Semi-Detached,864275,1,4,Hamilton,M5H 2N2,"Hardwood, Fireplace"
100041,Detached,1417000,3,4,Brampton,M5H 2N2,"Garage, Deck"
100042,Semi-Detached,1047433,4,4,Ottawa,L5B 3Y3,"Backyard, Pool, Finished Basement, Garage"
