MLS_ID,Property_Type,Price,Bedrooms,Bathrooms,City,Postal_Code,Features,Status,Date_Listed,Address
100000,Condo,559998,1,2,Mississauga,L8P 1A1,"Modern Kitchen, Garage, Fireplace",Sold,2025-06-12,919 Sample Street
100001,Condo,987718,2,4,Ottawa,L8P 1A1,"Backyard, Fireplace",Sold,2025-06-09,739 Sample Street
100002,Condo,1094085,3,1,Mississauga,L8P 1A1,"Pool, Garage, Hardwood, Finished Basement",Active,2025-06-12,610 Sample Street
100003,Townhouse,1178337,5,2,Mississauga,L6T 1R2,"Fireplace, Modern Kitchen",Sold,2025-06-03,539 Sample Street
100004,Detached,767725,1,2,Toronto,L6T 1R2,"Modern Kitchen, Deck",Active,2025-06-09,238 Sample Street
100005,Semi-Detached,1420858,3,4,Mississauga,K1A 0B1,"Deck, Fireplace",Active,2025-06-09,347 Sample Street
100006,Semi-Detached,740055,1,1,Ottawa,L6T 1R2,"Finished Basement, Modern Kitchen",Active,2025-06-07,288 Sample Street
100007,Semi-Detached,984940,5,4,Mississauga,L6T 1R2,"Deck, Garage, Pool",Active,2025-06-11,965 Sample Street
100008,Townhouse,1184160,1,2,Mississauga,K1A 0B1,"Modern Kitchen, Fireplace, Pool",Active,2025-06-01,887 Sample Street
100009,Semi-Detached,857907,2,4,Brampton,L5B 3Y3,"Modern Kitchen, Pool",Active,2025-06-02,590 Sample Street
100010,Semi-Detached,1185986,5,3,Toronto,L6T 1R2,"Pool, Fireplace, Modern Kitchen",Sold,2025-06-18,297 Sample Street
100011,Condo,898245,3,2,Ottawa,L6T 1R2,"Finished Basement, Deck, Modern Kitchen, Garage",Active,2025-06-14,898 Sample Street
100012,Condo,1448019,4,2,Mississauga,L5B 3Y3,"Modern Kitchen, Deck, Backyard",Active,2025-06-03,476 Sample Street
100013,Condo,520204,4,2,Mississauga,L6T 1R2,"Modern Kitchen, Deck, Finished Basement",Pending,2025-06-03,739 Sample Street
100014,Townhouse,707203,3,1,Mississauga,K1A 0B1,"Fireplace, Deck, Finished Basement",Sold,2025-06-15,375 Sample Street
100015,Detached,834720,3,4,Brampton,L6T 1R2,"Pool, Fireplace, Backyard",Sold,2025-06-05,838 Sample Street
100016,Detached,1053213,3,4,Toronto,L5B 3Y3,"Hardwood, Pool, Modern Kitchen",Pending,2025-06-12,216 Sample Street
100017,Condo,427734,3,1,Ottawa,L6T 1R2,"Pool, Backyard",Sold,2025-06-14,752 Sample Street
100018,Semi-Detached,1251364,5,1,Ottawa,K1A 0B1,"Modern Kitchen, Fireplace, Hardwood, Finished Basement",Active,2025-06-01,497 Sample Street
100019,Condo,1427189,5,2,Toronto,L5B 3Y3,"Hardwood, Modern Kitchen",Sold,2025-06-07,146 Sample Street
100020,Condo,433669,2,1,Ottawa,L6T 1R2,"Backyard, Deck, Modern Kitchen",Pending,2025-06-09,640 Sample Street
100021,Townhouse,1283011,1,1,Hamilton,L5B 3Y3,"Backyard, Deck",Active,2025-06-16,924 Sample Street
100022,Townhouse,1313064,4,3,Mississauga,M5H 2N2,"Modern Kitchen, Pool, Garage, Hardwood",Pending,2025-06-06,601 Sample Street
100023,Semi-Detached,1320389,5,1,Mississauga,L6T 1R2,"Deck, Pool",Active,2025-06-10,670 Sample Street
100024,Townhouse,771414,4,3,Toronto,L6T 1R2,"Finished Basement, Hardwood, Backyard",Sold,2025-06-06,711 Sample Street
100025,Townhouse,1289859,2,4,Mississauga,L5B 3Y3,"Finished Basement, Hardwood, Fireplace",Active,2025-06-04,346 Sample Street
100026,Condo,1410584,5,2,Ottawa,L8P 1A1,"Finished Basement, Deck",Pending,2025-06-17,971 Sample Street
